scalar,RGB_r,RGB_g,RGB_b
1,0,0,0
0.992125984,0.025095549,0.007563866,0.004230858
0.984251969,0.04942894,0.015127733,0.008461717
0.976377953,0.068649461,0.022691599,0.012692575
0.968503937,0.084395911,0.030255466,0.016923433
0.960629921,0.09797808,0.037819332,0.021154292
0.952755906,0.110052228,0.045138105,0.02538515
0.94488189,0.121001305,0.051780971,0.029616008
0.937007874,0.131175898,0.057824585,0.033853091
0.929133858,0.141790445,0.062705535,0.038164713
0.921259843,0.153051229,0.066402938,0.04250591
0.913385827,0.164729405,0.06936601,0.046628144
0.905511811,0.176546944,0.07224601,0.050470917
0.897637795,0.188491614,0.075055809,0.054069006
0.88976378,0.200557045,0.077796157,0.057451307
0.881889764,0.212737746,0.080467684,0.060641015
0.874015748,0.225028935,0.083070906,0.063657059
0.866141732,0.237426402,0.08560624,0.066515102
0.858267717,0.24992641,0.088074005,0.069228263
0.850393701,0.26252561,0.090474437,0.071807643
0.842519685,0.275220984,0.092807686,0.074262719
0.834645669,0.288009785,0.095073828,0.076601645
0.826771654,0.300889506,0.097272862,0.078831482
0.818897638,0.313857868,0.099404711,0.080958008
0.811023622,0.326908502,0.101470243,0.083037028
0.803149606,0.340036039,0.103470172,0.085118818
0.795275591,0.353239555,0.105404159,0.08720343
0.787401575,0.36651812,0.107271812,0.089290914
0.779527559,0.379870801,0.109072682,0.091381313
0.771653543,0.393296666,0.110806265,0.093474669
0.763779528,0.406794792,0.112472001,0.09557102
0.755905512,0.420364265,0.11406927,0.097670401
0.748031496,0.434004179,0.115597394,0.099772842
0.74015748,0.447713646,0.117055632,0.101878374
0.732283465,0.461491789,0.11844318,0.103987022
0.724409449,0.475337747,0.119759165,0.10609881
0.716535433,0.489250678,0.121002647,0.108213762
0.708661417,0.503229752,0.122172611,0.110331895
0.700787402,0.517274158,0.123267967,0.112453229
0.692913386,0.531383103,0.124287541,0.11457778
0.68503937,0.545555809,0.125230076,0.116705563
0.677165354,0.559791514,0.126094222,0.11883659
0.669291339,0.574089476,0.126878531,0.120970873
0.661417323,0.588448966,0.127581452,0.123108423
0.653543307,0.602869273,0.128201322,0.125249249
0.645669291,0.617349701,0.128736359,0.127393359
0.637795276,0.63188957,0.129184648,0.129540758
0.62992126,0.646488215,0.129544137,0.131691455
0.622047244,0.661144987,0.12981262,0.133845452
0.614173228,0.675859248,0.129987725,0.136002754
0.606299213,0.688299225,0.135157094,0.136933816
0.598425197,0.695841387,0.150324485,0.135197294
0.590551181,0.703377376,0.164639113,0.133338749
0.582677165,0.710907331,0.178289727,0.131351436
0.57480315,0.718431391,0.191409374,0.129227878
0.566929134,0.72594969,0.204095637,0.126959749
0.559055118,0.733462358,0.216422352,0.124537723
0.551181102,0.740969524,0.228446812,0.121951297
0.543307087,0.748471312,0.24021441,0.119188567
0.535433071,0.755967843,0.251761741,0.11623595
0.527559055,0.763459238,0.263118746,0.113077817
0.519685039,0.770945611,0.274310242,0.109696038
0.511811024,0.778427077,0.285357026,0.106069369
0.503937008,0.785903746,0.296276696,0.102172643
0.496062992,0.793375727,0.307084272,0.097975659
0.488188976,0.800843126,0.317792676,0.093441643
0.480314961,0.808306046,0.328413099,0.088525034
0.472440945,0.815764589,0.338955292,0.083168214
0.464566929,0.823218853,0.349427802,0.077296494
0.456692913,0.830668936,0.359838158,0.070810041
0.448818898,0.838114933,0.370193022,0.063570156
0.440944882,0.845556936,0.380498316,0.055374119
0.433070866,0.852995035,0.390759323,0.045904359
0.42519685,0.860429321,0.400980773,0.034762876
0.417322835,0.86785988,0.411166917,0.022945055
0.409448819,0.871214225,0.424448263,0.019385835
0.401574803,0.873187289,0.438556718,0.018613905
0.393700787,0.875091261,0.452476453,0.017884415
0.385826772,0.876925538,0.466226505,0.017199056
0.377952756,0.8786895,0.479823471,0.016559515
0.37007874,0.880382516,0.493281908,0.015967483
0.362204724,0.882003936,0.506614653,0.015424649
0.354330709,0.883553098,0.519833084,0.014932703
0.346456693,0.885029321,0.532947333,0.014493334
0.338582677,0.886431908,0.545966455,0.01410823
0.330708661,0.887760144,0.558898582,0.013779083
0.322834646,0.889013297,0.571751036,0.01350758
0.31496063,0.890190613,0.584530435,0.013295412
0.307086614,0.891291323,0.597242779,0.013144268
0.299212598,0.892314633,0.609893522,0.013055837
0.291338583,0.893259731,0.622487636,0.013031809
