scalar,RGB_r,RGB_g,RGB_b
1,0,0,0
0.992125984,0.020354788,0.006218542,0.037536741
0.984251969,0.040704711,0.012437084,0.068503465
0.976377953,0.058319506,0.018655626,0.091234721
0.968503937,0.072440775,0.02490641,0.110475246
0.960629921,0.083146193,0.031333943,0.129927467
0.952755906,0.091150242,0.037970881,0.149867307
0.94488189,0.097071788,0.04452816,0.170250564
0.937007874,0.103038538,0.049585428,0.191064145
0.929133858,0.109513469,0.053102092,0.212277954
0.921259843,0.116414169,0.055227183,0.233861966
0.913385827,0.12349519,0.056418965,0.255780524
0.905511811,0.130418003,0.057402534,0.27799747
0.897637795,0.137182436,0.058184556,0.30050181
0.88976378,0.143793669,0.058756834,0.323283693
0.881889764,0.15025615,0.059109851,0.346333932
0.874015748,0.156573714,0.059232555,0.369643952
0.866141732,0.162749682,0.059112073,0.393205741
0.858267717,0.168786932,0.058733344,0.417011802
0.850393701,0.174687962,0.058078639,0.441055108
0.842519685,0.180454936,0.057126917,0.465329061
0.834645669,0.186089728,0.05585296,0.489827458
0.826771654,0.191593947,0.05422617,0.514544456
0.818897638,0.196968975,0.052208872,0.539474542
0.811023622,0.202215977,0.049753834,0.564612505
0.803149606,0.207335931,0.046800516,0.589953416
0.795275591,0.212329636,0.043269171,0.615492601
0.787401575,0.217197729,0.039041732,0.641225624
0.779527559,0.224893335,0.033827797,0.664535292
0.771653543,0.242544615,0.02674458,0.678871814
0.763779528,0.25984281,0.018976026,0.693265017
0.755905512,0.276860263,0.010499934,0.707714241
0.748031496,0.293652515,0.001294108,0.72221884
0.74015748,0.310263072,0,0.736778186
0.732283465,0.326726591,0,0.751391669
0.724409449,0.343071075,0,0.766058693
0.716535433,0.359319431,0,0.780778677
0.708661417,0.375490596,0,0.795551056
0.700787402,0.391600368,0,0.810375275
0.692913386,0.407662036,0,0.825250798
0.68503937,0.423686856,0,0.840177096
0.677165354,0.439684422,0,0.855153658
0.669291339,0.455662961,0,0.87017998
0.661417323,0.471629558,0,0.885255572
0.653543307,0.493186844,0,0.889982578
0.645669291,0.536477737,0,0.846837813
0.637795276,0.574076374,0,0.804028563
0.62992126,0.607290038,0,0.761554903
0.622047244,0.636995436,0,0.719415109
0.614173228,0.663816284,0,0.677605006
0.606299213,0.688216634,0,0.63611706
0.598425197,0.710554169,0,0.594939104
0.590551181,0.731112636,0,0.554052515
0.582677165,0.750122607,0,0.51342955
0.57480315,0.767775318,0,0.473029363
0.566929134,0.784232208,0,0.43279187
0.559055118,0.7996317,0,0.392627964
0.551181102,0.814094119,0,0.352403196
0.543307087,0.827725351,0.007431227,0.311908999
0.535433071,0.8406196,0.041378138,0.270808089
0.527559055,0.851235751,0.075296758,0.239884225
0.519685039,0.857118666,0.110845946,0.239726547
0.511811024,0.862976265,0.138971056,0.239516079
0.503937008,0.868808602,0.163109984,0.239251759
0.496062992,0.874615728,0.184707457,0.238932478
0.488188976,0.880397696,0.204526031,0.238557079
0.480314961,0.886154556,0.223023458,0.23812435
0.472440945,0.891886358,0.24049856,0.237633026
0.464566929,0.89759315,0.257158341,0.237081779
