scalar,RGB_r,RGB_g,RGB_b
1,0,0,0
0.992125984,0.03606478,0.001725455,0.03301322
0.984251969,0.066128828,0.003188585,0.065571818
0.976377953,0.087937171,0.004414903,0.091904258
0.968503937,0.104965626,0.005546169,0.116424328
0.960629921,0.117107652,0.006918193,0.144060533
0.952755906,0.125752412,0.008333046,0.173543408
0.94488189,0.132380053,0.009654029,0.202279772
0.937007874,0.137413612,0.010954869,0.229901757
0.929133858,0.141345343,0.012259537,0.255991576
0.921259843,0.144762233,0.013427433,0.280329914
0.913385827,0.148130167,0.014500313,0.303208351
0.905511811,0.151686723,0.015510386,0.32565534
0.897637795,0.155730939,0.01659028,0.347129629
0.88976378,0.160543692,0.017514434,0.367718786
0.881889764,0.166331891,0.018455369,0.386990334
0.874015748,0.172367889,0.01944464,0.40600639
0.866141732,0.173785333,0.020602407,0.431018261
0.858267717,0.167279315,0.022195366,0.46444921
0.850393701,0.14236514,0.024433154,0.51225883
0.842519685,0.040178208,0.027896142,0.58490553
0.834645669,0.026214411,0.085947266,0.548926475
0.826771654,0.024183427,0.122365238,0.506770369
0.818897638,0.022390633,0.148893411,0.466320451
0.811023622,0.020472335,0.169734098,0.429166902
0.803149606,0.018849423,0.18689628,0.395804948
0.795275591,0.017633667,0.201539774,0.366417996
0.787401575,0.01629014,0.214428414,0.341099933
0.779527559,0.015286121,0.22606773,0.319400304
0.771653543,0.014389914,0.236823989,0.300970692
0.763779528,0.013669937,0.24694876,0.285330924
0.755905512,0.013065053,0.256624116,0.272039579
0.748031496,0.012748502,0.265973502,0.260612626
0.74015748,0.01327102,0.2751633,0.249295493
0.732283465,0.013872733,0.284293464,0.237519017
0.724409449,0.01406302,0.2933944,0.225248609
0.716535433,0.014703249,0.302425122,0.212480719
0.708661417,0.014867721,0.311438741,0.19910336
0.700787402,0.015410847,0.320393596,0.185144884
0.692913386,0.01605117,0.329306666,0.170548445
0.68503937,0.016398038,0.338197638,0.155232072
0.677165354,0.016852253,0.347044753,0.139304246
0.669291339,0.017364565,0.355847707,0.122899822
0.661417323,0.017830691,0.364607443,0.106291278
0.653543307,0.018093482,0.373326419,0.089973872
0.645669291,0.018504281,0.381985743,0.074990279
0.637795276,0.018909198,0.390591414,0.062709619
0.62992126,0.019154348,0.399152843,0.05474644
0.622047244,0.019475806,0.4076902,0.050421905
0.614173228,0.020373453,0.416225014,0.047025441
0.606299213,0.020329791,0.424873957,0.037258881
0.598425197,0.022481313,0.433531595,0.020917694
0.590551181,0.065354059,0.440683172,0.021329125
