scalar,RGB_r,RGB_g,RGB_b
1,0.002810891,0.000239715,0.013984976
0.992125984,0.005550229,0.001886848,0.024486212
0.984251969,0.009501142,0.00414284,0.038994809
0.976377953,0.014670574,0.006919584,0.055699884
0.968503937,0.021135283,0.010119938,0.072538667
0.960629921,0.029014483,0.013638908,0.089571529
0.952755906,0.038481165,0.01735658,0.106849796
0.94488189,0.049010299,0.021143334,0.12445384
0.937007874,0.059743507,0.024878538,0.142343035
0.929133858,0.070773816,0.028377147,0.160604051
0.921259843,0.082118937,0.031511691,0.179146903
0.913385827,0.093824004,0.034090068,0.19801387
0.905511811,0.105978222,0.035918824,0.217106743
0.897637795,0.11856415,0.036853375,0.236331325
0.88976378,0.131586884,0.036745884,0.255551754
0.881889764,0.145011842,0.035535492,0.274577146
0.874015748,0.158770325,0.033259407,0.293158259
0.866141732,0.17276544,0.030048238,0.311011842
0.858267717,0.186879069,0.026147306,0.327855734
0.850393701,0.2009646,0.021929302,0.343418884
0.842519685,0.214901483,0.017789635,0.357518871
0.834645669,0.228592258,0.014095764,0.370065727
0.826771654,0.241982984,0.011136127,0.381062915
0.818897638,0.25505227,0.009106688,0.39059071
0.811023622,0.267811584,0.00809903,0.398773535
0.803149606,0.280290702,0.008129846,0.405756508
0.795275591,0.292524437,0.009175625,0.411682593
0.787401575,0.304550021,0.011183968,0.41669113
0.779527559,0.316408246,0.014074036,0.420899738
0.771653543,0.328133117,0.017769769,0.424410707
0.763779528,0.339755106,0.022196672,0.427312417
0.755905512,0.351298813,0.02728559,0.429676293
0.748031496,0.362786127,0.032972011,0.431560601
0.74015748,0.374233801,0.039202129,0.433012304
0.732283465,0.38565981,0.045637028,0.434071295
0.724409449,0.397074365,0.05191556,0.43476771
0.716535433,0.408485544,0.058046825,0.435128072
0.708661417,0.419903212,0.064028107,0.435167437
0.700787402,0.431333681,0.069867653,0.43490007
0.692913386,0.442781517,0.075575063,0.434336316
0.68503937,0.454248613,0.081159869,0.433484043
0.677165354,0.465737148,0.08663455,0.432352524
0.669291339,0.477248625,0.092011827,0.430941365
0.661417323,0.488784862,0.09730297,0.429252059
0.653543307,0.500342993,0.102521103,0.427287445
0.645669291,0.511923634,0.107680459,0.425048097
0.637795276,0.523522707,0.112793215,0.422533083
0.62992126,0.535139012,0.117872665,0.419740523
0.622047244,0.546767587,0.122931988,0.416672371
0.614173228,0.558406566,0.12798565,0.413326416
0.606299213,0.570049975,0.133047443,0.409702075
0.598425197,0.581693149,0.138130741,0.405800633
0.590551181,0.593330791,0.143250208,0.401622537
0.582677165,0.604955804,0.148420685,0.397165632
0.57480315,0.616562267,0.153656545,0.39243459
0.566929134,0.628141183,0.158972539,0.387432268
0.559055118,0.639686831,0.164384721,0.382160131
0.551181102,0.651190145,0.169907221,0.376619451
0.543307087,0.66264199,0.175556143,0.370818081
0.535433071,0.67403271,0.181347192,0.364759872
0.527559055,0.685352973,0.187294821,0.358452275
0.519685039,0.69659218,0.193414977,0.351900276
0.511811024,0.707738383,0.199720974,0.345109758
0.503937008,0.718782931,0.206228802,0.33809083
0.496062992,0.729711897,0.21295223,0.330852884
0.488188976,0.74051449,0.219903882,0.323405321
0.480314961,0.751177191,0.227095449,0.315758516
0.472440945,0.76168895,0.234540564,0.307920207
0.464566929,0.772036629,0.242248994,0.299901096
0.456692913,0.782207225,0.250228861,0.291711877
0.448818898,0.792187706,0.258489414,0.283364449
0.440944882,0.801966104,0.267037414,0.274868213
0.433070866,0.811529587,0.275876594,0.266232434
0.42519685,0.820865458,0.2850115,0.257467646
0.417322835,0.829964184,0.294443932,0.248580407
0.409448819,0.838812272,0.304174342,0.239577884
0.401574803,0.847399621,0.314202311,0.230465352
0.393700787,0.855716207,0.32452391,0.221248614
0.385826772,0.863752135,0.335136843,0.211927003
0.377952756,0.871499711,0.346034133,0.202502587
0.37007874,0.878949778,0.357209935,0.192973213
0.362204724,0.886096229,0.368658145,0.183332897
0.354330709,0.892932823,0.380369887,0.173575936
0.346456693,0.899453394,0.392335523,0.163692007
0.338582677,0.905652758,0.40454555,0.153668977
0.330708661,0.911527568,0.416991638,0.143491588
0.322834646,0.917072725,0.429662198,0.133139799
0.31496063,0.922286657,0.442546999,0.122594788
0.307086614,0.927165789,0.455638496,0.111829226
0.299212598,0.931707703,0.468924754,0.100816013
0.291338583,0.93590993,0.482395931,0.089522744
0.283464567,0.939771614,0.496043866,0.077916
0.275590551,0.943289676,0.509858458,0.065960329
0.267716535,0.946463557,0.523831738,0.053618167
0.25984252,0.949290921,0.53795573,0.040863985
0.251968504,0.951770141,0.552220615,0.028670294
0.244094488,0.953900085,0.566622328,0.018692184
0.236220472,0.955677773,0.581151245,0.011107071
0.228346457,0.957102529,0.595800819,0.006110787
0.220472441,0.958171484,0.61056457,0.003935269
0.212598425,0.958883518,0.625437019,0.004847926
0.204724409,0.959236446,0.640410231,0.009159255
0.196850394,0.959228726,0.655477872,0.017226782
0.188976378,0.958858483,0.670637006,0.029464898
0.181102362,0.958125302,0.685877851,0.046020833
0.173228346,0.957028185,0.701194291,0.063826058
0.165354331,0.955568162,0.716579474,0.082028594
0.157480315,0.95374562,0.73202666,0.100657364
0.149606299,0.951563747,0.747527486,0.1197621
0.141732283,0.949031293,0.763068317,0.139404844
0.133858268,0.946161264,0.778639209,0.159661602
0.125984252,0.942971589,0.794223586,0.18060997
0.118110236,0.939478374,0.809807417,0.202348621
0.11023622,0.935724289,0.82536506,0.224972255
0.102362205,0.931770859,0.840864017,0.248586361
0.094488189,0.927679885,0.856271826,0.273330233
0.086614173,0.923583133,0.871530208,0.29931323
0.078740157,0.919645183,0.886569584,0.326663479
0.070866142,0.916092133,0.901304321,0.355508932
0.062992126,0.913268916,0.915607746,0.3858681
0.05511811,0.911608371,0.929333634,0.41765715
0.047244094,0.911616024,0.942325881,0.45058747
0.039370079,0.9137745,0.954454,0.484130768
0.031496063,0.918398881,0.965660123,0.517598885
0.023622047,0.925533763,0.975983677,0.550321908
0.015748031,0.934974769,0.985545225,0.581858854
0.007874016,0.946382762,0.994491296,0.611963687
0,0.959399507,1.002963285,0.640626478
