scalar,RGB_r,RGB_g,RGB_b
1,0.185001263,0,0.530073448
0.992125984,0.197175378,0,0.540186439
0.984251969,0.208963669,0,0.549353519
0.976377953,0.220455137,0,0.557782392
0.968503937,0.231725917,0,0.565622241
0.960629921,0.242846384,0,0.572989071
0.952755906,0.253854075,0,0.579956764
0.94488189,0.264779274,0,0.586581721
0.937007874,0.275645012,0,0.592904276
0.929133858,0.286468351,0,0.598951715
0.921259843,0.297258389,0,0.60474394
0.913385827,0.308024342,0,0.61029245
0.905511811,0.318776682,0,0.615606316
0.897637795,0.329519419,0,0.620684814
0.88976378,0.340253903,0,0.625528622
0.881889764,0.350980149,0,0.630131702
0.874015748,0.361699157,0,0.634487867
0.866141732,0.372411137,0,0.638587796
0.858267717,0.38311408,0,0.642420184
0.850393701,0.393803601,0,0.645973333
0.842519685,0.404480369,0,0.649234945
0.834645669,0.415138132,0,0.652190258
0.826771654,0.425773759,0,0.654824822
0.818897638,0.436383301,0,0.657124864
0.811023622,0.446961196,0,0.659074742
0.803149606,0.457502039,0,0.660660599
0.795275591,0.468000044,0,0.661869936
0.787401575,0.478450702,0,0.66268897
0.779527559,0.488848492,0,0.663104589
0.771653543,0.499186221,0,0.663108404
0.763779528,0.509458251,0,0.662690164
0.755905512,0.519658207,0,0.661844535
0.748031496,0.529780485,0,0.660565408
0.74015748,0.539819104,0,0.658848646
0.732283465,0.549769499,0,0.656697167
0.724409449,0.559623644,0,0.654111392
0.716535433,0.569378504,0,0.651099058
0.708661417,0.579027573,0,0.647666323
0.700787402,0.588567401,0,0.643825719
0.692913386,0.597994154,0,0.63959071
0.68503937,0.607303157,0,0.634977421
0.677165354,0.616491188,0.009971557,0.630005563
0.669291339,0.625556278,0.026239508,0.624696864
0.661417323,0.634497528,0.043865711,0.619073376
0.653543307,0.643311651,0.060041468,0.613162032
0.645669291,0.651998833,0.074537178,0.606986651
0.637795276,0.660558586,0.087945555,0.600574459
0.62992126,0.66899135,0.100589161,0.593952506
0.622047244,0.677296421,0.112661201,0.587148694
0.614173228,0.685477943,0.124293526,0.580187122
0.606299213,0.693534938,0.135572414,0.573094386
0.598425197,0.70147091,0.146562729,0.56589476
0.590551181,0.709287305,0.15731302,0.558608965
0.582677165,0.716987129,0.167859519,0.551259159
0.57480315,0.724572588,0.178231973,0.543863369
0.566929134,0.732045975,0.188452528,0.536440184
0.559055118,0.739411921,0.198542726,0.529004379
0.551181102,0.746672124,0.208518423,0.521569069
0.543307087,0.753828569,0.218393396,0.514144932
0.535433071,0.760885984,0.228181531,0.506740795
0.527559055,0.767844766,0.237893697,0.499362589
0.519685039,0.774709399,0.24753929,0.49201976
0.511811024,0.781479771,0.257127039,0.484717271
0.503937008,0.788159349,0.266666196,0.477454043
0.496062992,0.794749955,0.276165749,0.470232911
0.488188976,0.801251448,0.285631501,0.463054698
0.480314961,0.807666229,0.295070076,0.455921208
0.472440945,0.813994471,0.304489603,0.448829256
0.464566929,0.820237432,0.313896309,0.441775512
0.456692913,0.826393096,0.323295748,0.434758216
0.448818898,0.83246264,0.332693359,0.427777028
0.440944882,0.838445523,0.342096319,0.420825158
0.433070866,0.844339514,0.351510116,0.41389917
0.42519685,0.850144176,0.360938466,0.406997327
0.417322835,0.855856425,0.370389093,0.400113886
0.409448819,0.861475483,0.379866113,0.3932446
0.401574803,0.866997938,0.38937469,0.386384969
0.393700787,0.872420746,0.398920026,0.379532578
0.385826772,0.877741087,0.408506599,0.372682337
0.377952756,0.882954528,0.418139212,0.36583032
0.37007874,0.888057325,0.427822168,0.358973974
0.362204724,0.893046552,0.43756139,0.352107798
0.354330709,0.897916833,0.447360346,0.345230757
0.346456693,0.902662602,0.457222016,0.338339302
0.338582677,0.90727986,0.467151673,0.331429691
0.330708661,0.911762832,0.477152757,0.324500219
0.322834646,0.91610767,0.487229042,0.317549318
0.31496063,0.920306039,0.497383194,0.310574212
0.307086614,0.924354442,0.507619054,0.303572597
0.299212598,0.928246254,0.517939169,0.296545159
0.291338583,0.931976519,0.528346942,0.289489712
0.283464567,0.935536946,0.538843741,0.282403103
0.275590551,0.938922566,0.549432509,0.275288329
0.267716535,0.942128607,0.560114549,0.268144991
0.25984252,0.945146728,0.570893002,0.260972451
0.251968504,0.947969775,0.581768168,0.253769105
0.244094488,0.950592725,0.592743017,0.246539004
0.236220472,0.953009392,0.603818276,0.2392848
0.228346457,0.95521269,0.614993854,0.232009671
0.220472441,0.957196128,0.626271154,0.224718573
0.212598425,0.95894941,0.637654063,0.217411357
0.204724409,0.96046729,0.649139776,0.210099922
0.196850394,0.961743276,0.660729654,0.202794416
0.188976378,0.962768785,0.67242476,0.19550775
0.181102362,0.963537065,0.684224849,0.188255569
0.173228346,0.964039093,0.69613104,0.181056646
0.165354331,0.964266317,0.708141988,0.173939142
0.157480315,0.964210852,0.720258797,0.166932866
0.149606299,0.963862939,0.732481639,0.160077307
0.141732283,0.96321548,0.744807829,0.153420948
0.133858268,0.962258419,0.757239646,0.147020379
0.125984252,0.960982288,0.769775973,0.140944228
0.118110236,0.959372381,0.782418019,0.135261343
0.11023622,0.957426538,0.79516155,0.130071902
0.102362205,0.955137028,0.808003119,0.125475245
0.094488189,0.952484629,0.820948866,0.121555192
0.086614173,0.949469657,0.833989879,0.11841825
0.078740157,0.946079561,0.847126543,0.116134535
0.070866142,0.942315742,0.860353315,0.114757947
0.062992126,0.938155883,0.873675453,0.114268896
0.05511811,0.933610635,0.887081727,0.114603208
0.047244094,0.928680355,0.900568303,0.115584841
0.039370079,0.923377366,0.914127762,0.116901918
0.031496063,0.917707385,0.927759356,0.118011685
0.023622047,0.911741685,0.94143565,0.118025821
0.015748031,0.905561456,0.955143671,0.115248738
0.007874016,0.89943196,0.96881273,0.10611986
0,0.89405831,0.982253579,0.081068766
