scalar,RGB_r,RGB_g,RGB_b
1,0.33479085,0.28308437,0.75649522
0.992125984,0.343240796,0.297306292,0.76891664
0.984251969,0.351693847,0.311451962,0.781086148
0.976377953,0.360152536,0.325522807,0.792995947
0.968503937,0.368619245,0.339518925,0.80463843
0.960629921,0.377096198,0.353439338,0.816006177
0.952755906,0.385585455,0.367282183,0.827091969
0.94488189,0.394088905,0.381044874,0.837888783
0.937007874,0.402608263,0.394724218,0.848389803
0.929133858,0.411145062,0.408316526,0.858588421
0.921259843,0.419700647,0.421817687,0.86847824
0.913385827,0.42827617,0.43522324,0.87805308
0.905511811,0.436872583,0.44852843,0.88730698
0.897637795,0.445490639,0.461728258,0.896234204
0.88976378,0.454130882,0.474817516,0.90482924
0.881889764,0.462793645,0.487790826,0.913086807
0.874015748,0.471479049,0.500642667,0.921001854
0.866141732,0.480187,0.513367401,0.928569568
0.858267717,0.488917186,0.525959297,0.935785372
0.850393701,0.497669076,0.538412547,0.942644929
0.842519685,0.506441921,0.550721286,0.949144145
0.834645669,0.515234753,0.562879607,0.955279168
0.826771654,0.524046386,0.574881575,0.961046395
0.818897638,0.532875419,0.586721235,0.966442469
0.811023622,0.541720232,0.598392632,0.971464281
0.803149606,0.550578998,0.609889812,0.976108975
0.795275591,0.559449676,0.621206836,0.980373944
0.787401575,0.568330023,0.632337789,0.984256835
0.779527559,0.577217592,0.643276786,0.987755546
0.771653543,0.586109739,0.654017981,0.990868229
0.763779528,0.595003627,0.66455557,0.993593291
0.755905512,0.603896232,0.674883805,0.99592939
0.748031496,0.612784347,0.684996993,0.99787544
0.74015748,0.62166459,0.694889503,0.999430607
0.732283465,0.630533408,0.704555777,1.00059431
0.724409449,0.639387083,0.713990325,1.001366218
0.716535433,0.648221741,0.723187741,1.001746255
0.708661417,0.657033355,0.7321427,1.001734591
0.700787402,0.665817756,0.740849964,1.001331647
0.692913386,0.674570636,0.74930439,1.000538089
0.68503937,0.683287557,0.757500929,0.999354831
0.677165354,0.691963957,0.765434632,0.997783028
0.669291339,0.700595159,0.773100656,0.995824077
0.661417323,0.709176376,0.780494264,0.993479616
0.653543307,0.717702719,0.787610831,0.990751517
0.645669291,0.726169202,0.794445846,0.987641888
0.637795276,0.734570754,0.800994915,0.984153067
0.62992126,0.74290222,0.807253767,0.980287621
0.622047244,0.751158373,0.813218254,0.976048342
0.614173228,0.759333916,0.818884355,0.971438243
0.606299213,0.767423493,0.824248176,0.966460556
0.598425197,0.775421692,0.829305961,0.961118726
0.590551181,0.783323057,0.834054083,0.95541641
0.582677165,0.791122087,0.838489056,0.949357471
0.57480315,0.798813247,0.842607532,0.942945975
0.566929134,0.806390975,0.846406306,0.936186185
0.559055118,0.813849683,0.849882316,0.929082556
0.551181102,0.821183771,0.853032648,0.921639734
0.543307087,0.828387623,0.855854534,0.913862547
0.535433071,0.835455622,0.858345357,0.905756003
0.527559055,0.842382149,0.860502651,0.89732528
0.519685039,0.849161591,0.862324103,0.888575729
0.511811024,0.855788347,0.863807556,0.879512859
0.503937008,0.862256831,0.864951008,0.870142337
0.496062992,0.869225035,0.863657947,0.859838305
0.488188976,0.876572241,0.859933428,0.848722287
0.480314961,0.883594552,0.85587586,0.837471757
0.472440945,0.890290729,0.851487494,0.826094229
0.464566929,0.896659541,0.846770721,0.814597195
0.456692913,0.902699774,0.841728074,0.802988116
0.448818898,0.908410239,0.836362218,0.791274418
0.440944882,0.913789784,0.83067595,0.779463491
0.433070866,0.918837301,0.824672194,0.767562679
0.42519685,0.923551735,0.818353994,0.755579278
0.417322835,0.927932091,0.811724514,0.743520533
0.409448819,0.93197744,0.804787029,0.73139363
0.401574803,0.935686924,0.797544919,0.719205698
0.393700787,0.939059766,0.790001667,0.706963796
0.385826772,0.942095271,0.782160849,0.694674919
0.377952756,0.944792833,0.77402613,0.682345987
0.37007874,0.94715194,0.765601255,0.669983843
0.362204724,0.949172178,0.756890042,0.657595252
0.354330709,0.950853234,0.747896377,0.645186896
0.346456693,0.952194901,0.738624197,0.63276537
0.338582677,0.953197079,0.72907749,0.62033718
0.330708661,0.953859785,0.719260277,0.607908738
